repo,url,stars,last_push,commits_ahead,commits_behind,files_changed,lines_added,note,recent_commits
mynhleeh/DeepTutor,https://github.com/mynhleeh/DeepTutor,0,2026-08-14,15,1007,22,440,,"feat: implement QuizViewer component for managing quiz interaction, answer submi | feat: implement quiz markdown export with streaming data reconstruction and auto | feat: implement soft language directive and ChatPromptAssembler for dynamic mult | refactor: clean up documentation and reorganize docker configuration files | refactor: remove unused service integration and associated configuration files"
wedone/DeepTutor,https://github.com/wedone/DeepTutor,0,2026-07-11,1,1219,2,405,,ci(github-actions): 添加 Docker 和  PyPi 构建工作流
kam3004tdi-tech/DeepTutor,https://github.com/kam3004tdi-tech/DeepTutor,0,2026-05-04,3,1622,14,403,,chore: ignore scratch directory | feat: Deep Research 関連機能と Vertex AI 認証基盤の強化 | feat: Vertex AI provider 統合と認証ロジックの改善
Khushant15/DeepTutor,https://github.com/Khushant15/DeepTutor,0,2026-04-12,2,1736,11,369,,"docs: update README with LightRAG, Mermaid, and Glass theme details | feat: integrate LightRAG pipeline, Mermaid diagrams, and Liquid Glass theme"
MathsionYang/DeepTutor,https://github.com/MathsionYang/DeepTutor,0,2026-08-04,1,1065,7,348,,feat: add DeepMAIC context endpoint
wwm349792259-svg/DeepTutor,https://github.com/wwm349792259-svg/DeepTutor,0,2026-09-05,3,528,2,342,,Add build configuration for Dockerfile | Create Dockerfile.production | Update Dockerfile path for production build
tiramission/DeepTutor,https://github.com/tiramission/DeepTutor,0,2026-09-10,1,447,1,332,,feat: 添加 DeepTutor Tauri 桌面版实施计划文档
Luahoa/DeepTutor,https://github.com/Luahoa/DeepTutor,0,2026-01-15,14,2042,10,328,,Handle configuration errors in RAG pipeline initialization | feat: Optimize regex compilation in extract_json_from_text | fix: add TEX_CHUNKER_SPEC.md and update docs | perf: Add caching to configuration loader | ⚡ Optimize knowledge base initialization file scanning
nomiscientist/DeepTutor,https://github.com/nomiscientist/DeepTutor,0,2026-08-24,1,2149,3,327,,fix
HUSMUS9999/DeepTutor,https://github.com/HUSMUS9999/DeepTutor,0,2026-01-13,7,2047,7,318,,"Fix api.ts to support empty NEXT_PUBLIC_API_BASE for single-port deployments | Fix dockerFilePath path in render.yaml | Fix render.yaml: use runtime instead of env, fix dockerfilePath casing | Move render.yaml to root for auto-detection | feat: add LLM_USE_ENV and EMBEDDING_USE_ENV flags to force env var config"
ultus-net/DeepTutor,https://github.com/ultus-net/DeepTutor,0,2026-04-19,4,1686,4,316,,Add Bazzite native install notes and start script | Remove backend and frontend PID files | Update start script to write Copilot token to .env and clean up HTMLViewer compo | package lockfile
natustx/DeepTutor,https://github.com/natustx/DeepTutor,0,2026-01-04,1,2156,7,302,,security: apply security hardening fixes
aimlapi/DeepTutor-aimlapi,https://github.com/aimlapi/DeepTutor-aimlapi,0,2026-09-16,6,447,8,253,,chore(aimlapi): fork-only placement — do not send upstream | feat: add aimlapi.com as an OpenAI-compatible gateway provider | feat: attribute DeepTutor traffic to aimlapi.com by endpoint host | fix(aimlapi): use the registered partner id | fix: drop repeated ids from a provider's /models list
politol4/DeepTutor,https://github.com/politol4/DeepTutor,0,2026-04-16,24,1737,3,241,,"docs: finish truncated personal note, add embedding model tip | feat: add main Streamlit application entry point | fix: correct anthropic package name (anthropicai -> anthropic) | fix: correct typo in anthropic package name (anthropologic -> anthropic) | fix: remove duplicate httpx entry in testing section"
Longliveping/DeepTutor,https://github.com/Longliveping/DeepTutor,0,2026-04-11,3,1746,13,240,,chore: update default backend port to 8002 and frontend API base | feat: add OpenAI Responses API support via LLM_API_FORMAT config | fix: read api_format from config when all LLM params passed explicitly
monk-io/DeepTutor,https://github.com/monk-io/DeepTutor,0,2026-09-13,2,1294,1,232,,Add Monk deployment templates
simplismvip/DeepTutor,https://github.com/simplismvip/DeepTutor,0,2026-09-18,2,370,34,229,,feat(web): rebrand as EduMind and restrict video-learning settings | merge: integrate upstream v1.6.8 while keeping EduMind branding
henryre/DeepTutor,https://github.com/henryre/DeepTutor,0,2026-05-13,5,1584,10,213,,"Add Fly.io preview deployment support (#1) | ci: add CI workflow for web/ lint, typecheck, and build | ci: make lint/typecheck non-blocking (existing codebase has violations) | fix: add packages:write permission for GHCR push | fix: use web/ subdir for build commands in lbm.toml"
ucinhow/DeepTutor,https://github.com/ucinhow/DeepTutor,0,2026-05-23,4,1490,8,203,,fix: 修复配置的上限不生效 | fix: 支持配置知识库上传限制 | fix: 改下镜像上传
LLLQAQFFF/ExamMem,https://github.com/LLLQAQFFF/ExamMem,1,2026-09-21,122,1031,300,179,,style: satisfy ruff format gate | test(eval): restore frozen ExamMem evaluation protocol | test(exam-mem): add cross-subject frozen evaluation | test(exam-mem): correct cross-subject frozen dataset | test(exam-mem): isolate embedding dependency
Sdnsoumy/DeepTutor,https://github.com/Sdnsoumy/DeepTutor,0,2026-04-11,1,1763,1,178,,docs: add full-stack DeepTutor engineer prompt and architectural guidelines
Jackey-liu25/DeepTutor,https://github.com/Jackey-liu25/DeepTutor,0,2026-03-19,3,1879,5,174,,Add DeepTutor backend adapter - Anthropic to OpenAI format converter for MiniMax | Add Dockerfile for Render/Railway deployment | Add NEXT_PUBLIC_API_BASE env to next.config.js
phucxp12vn/Enhance_DeepTutor,https://github.com/phucxp12vn/Enhance_DeepTutor,0,2026-08-20,1,919,6,172,,set up harnesss
saleml/DeepTutor,https://github.com/saleml/DeepTutor,0,2026-09-01,6,796,5,171,,Fork: fix Anthropic /v1 base_url duplication; add cross-laptop setup | add launch script | web: refresh package-lock after npm install on macOS
code-with-idrees/DeepTutor,https://github.com/code-with-idrees/DeepTutor,0,2026-04-12,2,1736,29,160,,chore: stabilize testing pipeline and clean up technical debt | fix(setup): avoid FileNotFoundError on Python 3.14 in start_tour
murandashade/DeepTutor,https://github.com/murandashade/DeepTutor,0,2026-04-25,4,1684,2,157,,Add requirements.txt with core dependencies for DeepTutor | Fix typo in anthropic package name and remove duplicate httpx entry | default model selection to gpt-4o for better explanation quality | feat: add main Streamlit app entry point with chat interface and sidebar
faece92quin/DeepTutor,https://github.com/faece92quin/DeepTutor,0,2026-04-27,8,1647,2,156,,Change default model selection to gpt-4o-mini for personal use | Fix typo in anthropic package name and remove duplicate httpx entry | Remove gpt-3.5-turbo from model options; it underperforms on technical PDFs | feat: add main Streamlit application entry point with chat UI | feat: add requirements.txt with core project dependencies
HuyPhQu/DeepTutor,https://github.com/HuyPhQu/DeepTutor,0,2026-04-17,2,1723,2,151,,Create a comprehensive analysis document for DeepTutor repository in Vietnamese | Create deeptutor_analysis_bilingual.md with comprehensive bilingual analysis of 
Stepan5024/DeepTutor,https://github.com/Stepan5024/DeepTutor,0,2026-06-30,2,1222,4,142,,Harden production runtime image | Ship distroless deeptutor runtime
dokang1994/DeepTutor,https://github.com/dokang1994/DeepTutor,0,2026-08-18,1,1031,10,138,,fix(chat-import): treat a .claude folder without projects/ as an empty import
gyeri18/DeepTutor,https://github.com/gyeri18/DeepTutor,0,2026-05-05,9,1625,2,134,,Fix typo in anthropic package name and remove duplicate httpx entry | Fix typo: 'anthropix' -> 'anthropic' (correct PyPI package name) | docs: add Ollama context window tip to personal notes | docs: add personal note about local Ollama model setup | docs: add personal note comparing mistral vs llama3 for different use cases
randomlrai/DeepTutor,https://github.com/randomlrai/DeepTutor,0,2026-05-26,2,1490,2,132,,"Add README with project overview, setup instructions, and structure | feat: add requirements.txt with core project dependencies"
robertsaji/DeepTutor,https://github.com/robertsaji/DeepTutor,0,2026-05-15,10,1552,2,127,,docs: add personal config note for local DeepSeek setup | docs: add personal note about MAX_UPLOAD_SIZE_MB for large PDFs | docs: expand personal note with VECTOR_DB_PATH recommendation | feat: add requirements.txt with core project dependencies | fix: correct typo in anthropic package name and remove duplicate httpx entry
silverwraith1/DeepTutorSearxng,https://github.com/silverwraith1/DeepTutorSearxng,0,2026-02-21,17,1904,4,123,,Create searxng.py | Update __init__.py | Update docker-publish.yml | Update requirements.txt | Update searxng.py
gaugan1moun/DeepTutor,https://github.com/gaugan1moun/DeepTutor,0,2026-04-28,12,1647,2,117,,docs: complete truncated Windows tip and add CRLF line-ending note | docs: complete truncated Windows tip and add OCRmyPDF note for scanned PDFs | docs: expand personal note with tip on model choice for research papers | docs: note MAX_UPLOAD_SIZE_MB bump and fix truncated acknowledgements link | feat: add requirements.txt with core project dependencies
pareklund/DeepTutor,https://github.com/pareklund/DeepTutor,0,2026-01-06,1,2115,1,101,,CLAUDE.md
laplaceliu/DeepTutor,https://github.com/laplaceliu/DeepTutor,0,2026-04-23,2,1647,3,88,,docs: update README with uv | feat: add docker setup for ollama
shin-ltp/DeepTutor,https://github.com/shin-ltp/DeepTutor,0,2026-05-19,1,1551,17,87,,api fetch
murtazaqaizar123/DeepTutor,https://github.com/murtazaqaizar123/DeepTutor,0,2026-06-01,20,1943,6,80,,Update API base URL for external access | Update Dockerfile | Update Dockerfile.nginx | Update docker-compose.yml | Update main.py
ManticoraTech/DeepTutor,https://github.com/ManticoraTech/DeepTutor,0,2026-04-10,1,1758,1,79,,Add ManticoraTech Docker publish workflow
binarilly/DeepTutor,https://github.com/binarilly/DeepTutor,0,2026-09-21,12,334,4,76,,release: v1.5.12
SuperManTouX/DeepTutor,https://github.com/SuperManTouX/DeepTutor,0,2026-02-02,8,1923,5,72,,feat: 手动指定后端地址 | feat: 新增自动化脚本 | feat: 更改标题 | feat: 给自动化脚本运行权限 | fix: 清除next进程
alvinets/DeepTutor,https://github.com/alvinets/DeepTutor,0,2026-09-16,1,690,1,68,,feat: add one-click start.bat launcher for backend and frontend
korenconni/DeepTutor,https://github.com/korenconni/DeepTutor,0,2026-04-28,7,1635,1,65,,Add requirements.txt with core project dependencies | Fix typo in anthropic package name and remove duplicate httpx entry | fix typo in anthropic package name and add rich for better terminal output | fix: correct typo in anthropic package name (anthropix -> anthropic) | revert anthropic typo fix and add watchdog for local dev convenience
LanceHuang245/DeepTutor,https://github.com/LanceHuang245/DeepTutor,0,2026-08-16,2,1007,2,64,,fix(sessions): ensure cleanup of mastery path on session deletion | test: cover scoped session artifact cleanup
zh769394/DeepTutor,https://github.com/zh769394/DeepTutor,1,2026-09-25,30,0,1,50,,Update checkout command for dev branch in workflow | Update sync-fork workflow for GitHub Actions | Update sync-fork.yml | Update sync-fork.yml to include SYNC_TOKEN | Update upstream repository URL in sync-fork.yml
bahung123/DeepTutor-fork,https://github.com/bahung123/DeepTutor-fork,0,2026-09-15,17,370,4,41,,fix(web): chat WS uses NEXT_PUBLIC_WS_URL tunnel instead of Vercel domain | fix(web): nodejs runtime for middleware — WebSocket upgrade support | fix(web): remove runtime export — proxy.ts is Node by default | fix: point WS at live cloudflare tunnel (funnel TLS dead) | fix: point next_public_api_base_external to funnel (cloudflare tunnel dead)
200412dh/DeepTutor,https://github.com/200412dh/DeepTutor,0,2026-04-12,1,1737,1,37,,Add DigitalClock.tsx component for displaying time in multiple time zones
officialtech/DeepTutor,https://github.com/officialtech/DeepTutor,0,2026-04-20,1,1684,1,30,,Add Django CI workflow for testing on multiple Python versions
Dongyurocket/DeepTutor,https://github.com/Dongyurocket/DeepTutor,0,2026-08-26,1,881,10,26,,feat: default interface and response language to Chinese (zh)
Victor5269/DeepTutor,https://github.com/Victor5269/DeepTutor,0,2026-08-14,4,1007,5,23,,chore: point image to my GHCR and disable PyPI | chore: trigger CI | fix: add trailing newline | 修改镜像源到我这里
infowanderer/DeepTutor,https://github.com/infowanderer/DeepTutor,0,2026-09-03,2,881,1,23,,New files from Fly.io Launch
adogrz/DeepTutor,https://github.com/adogrz/DeepTutor,0,2026-01-04,1,2153,1,22,,Refactor docker-compose.yml comments and volumes
easona999/DeepTutor,https://github.com/easona999/DeepTutor,0,2026-04-16,4,1703,7,21,, wd | Update .env.local | 上傳愛蓮說教材
arafat877/DeepTutor,https://github.com/arafat877/DeepTutor,0,2026-07-06,1,1230,1,21,,Add workflow
yl-jiang/DeepTutor,https://github.com/yl-jiang/DeepTutor,0,2026-04-14,15,1703,1,18,,Add GitHub Actions workflow for syncing fork
Amisha401/Personalized-AI-Tutor,https://github.com/Amisha401/Personalized-AI-Tutor,0,2026-01-11,1,2050,1,17,,Update README.md
6neonedge9/DeepTutor,https://github.com/6neonedge9/DeepTutor,0,2026-09-25,264,2148,2,15,roster-bot only,
sant1ago-da-hanoi/DeepTutor,https://github.com/sant1ago-da-hanoi/DeepTutor,0,2026-01-20,19,2050,2,15,roster-bot only,
oscarlin007git/DeepTutor,https://github.com/oscarlin007git/DeepTutor,0,2026-08-28,1,796,1,15,,Refine Dockerfile comments and installation steps
duc-nhat38/DeepTutor,https://github.com/duc-nhat38/DeepTutor,0,2026-04-30,1,1620,4,15,,Fix: numpy and manim are version conflict
motivartech/MotivarDeepTutor,https://github.com/motivartech/MotivarDeepTutor,0,2026-09-25,513,2049,3,14,,
daitomanabe/DeepTutor,https://github.com/daitomanabe/DeepTutor,0,2026-03-18,2,1881,2,14,roster-bot only,
GabrielRivas29/DeepTutor,https://github.com/GabrielRivas29/DeepTutor,0,2026-02-17,1,1909,4,14,,feat(llm): add support for Google Gemini via OpenAI-compatible API
rameshjs/DeepTutor,https://github.com/rameshjs/DeepTutor,0,2026-09-25,522,2124,2,13,roster-bot only,
alyconr/DeepTutor,https://github.com/alyconr/DeepTutor,0,2026-09-25,522,2115,2,13,roster-bot only,
mardom/DeepTutor,https://github.com/mardom/DeepTutor,0,2026-09-25,522,2094,2,13,roster-bot only,
LouisACR/DeepTutor,https://github.com/LouisACR/DeepTutor,0,2026-09-25,518,2115,2,13,roster-bot only,
YuChenSSR/DeepTutor,https://github.com/YuChenSSR/DeepTutor,1,2026-09-25,520,2094,2,13,roster-bot only,
lamardealmaker/DeepTutor,https://github.com/lamardealmaker/DeepTutor,0,2026-09-25,517,2060,2,13,roster-bot only,
banditburai/DeepTutor,https://github.com/banditburai/DeepTutor,0,2026-09-25,520,2094,2,13,roster-bot only,
dantsinghua/DeepTutor,https://github.com/dantsinghua/DeepTutor,0,2026-09-25,515,2054,2,13,roster-bot only,
62fpsgaming-hue/DeepTutor,https://github.com/62fpsgaming-hue/DeepTutor,0,2026-09-25,13,2119,2,13,roster-bot only,
hardikxyzhomework/DeepTutor,https://github.com/hardikxyzhomework/DeepTutor,0,2026-01-17,1,1994,5,13,,"Update config, embedding services, LLM capabilities, and settings page"
ghzoujf/DeepTutor,https://github.com/ghzoujf/DeepTutor,0,2026-09-25,507,2042,2,12,roster-bot only,
kushalgarg101/DeepTutor,https://github.com/kushalgarg101/DeepTutor,0,2026-09-25,504,2041,2,12,roster-bot only,
d0lphin/DeepTutor,https://github.com/d0lphin/DeepTutor,0,2026-09-25,502,1977,2,12,roster-bot only,
IgorOffline/HKUDS-DeepTutor,https://github.com/IgorOffline/HKUDS-DeepTutor,0,2026-09-25,242,1919,2,12,roster-bot only,
loverbabyz/DeepTutor,https://github.com/loverbabyz/DeepTutor,0,2026-09-25,238,1926,2,12,roster-bot only,
abhinav-yadav-v/DeepTutor,https://github.com/abhinav-yadav-v/DeepTutor,0,2026-09-25,238,1913,2,12,roster-bot only,
oshliaer/DeepTutor,https://github.com/oshliaer/DeepTutor,1,2026-09-25,239,1932,2,12,roster-bot only,
kiennh2909/DeepTutor,https://github.com/kiennh2909/DeepTutor,0,2026-09-25,235,1923,2,12,roster-bot only,
chinhkrb113/DeepTutor,https://github.com/chinhkrb113/DeepTutor,0,2026-09-25,235,1923,2,12,roster-bot only,
Suyw-0123/DeepTutor,https://github.com/Suyw-0123/DeepTutor,0,2026-09-25,228,1885,2,12,roster-bot only,
aofvalley/DeepTutor,https://github.com/aofvalley/DeepTutor,0,2026-09-25,220,1908,2,12,roster-bot only,
kxkx/DeepTutor,https://github.com/kxkx/DeepTutor,0,2026-09-25,213,1901,2,12,roster-bot only,
Magno-sys/DeepTutor,https://github.com/Magno-sys/DeepTutor,0,2026-09-25,199,1887,2,12,roster-bot only,
zhangshijun55/DeepTutor,https://github.com/zhangshijun55/DeepTutor,0,2026-09-25,196,1884,2,12,roster-bot only,
ustayready/deeptutor,https://github.com/ustayready/deeptutor,1,2026-09-25,189,1877,2,12,roster-bot only,
foschierauiliam/DeepTutor,https://github.com/foschierauiliam/DeepTutor,0,2026-09-25,186,1874,2,12,roster-bot only,
temitopeohassan/deeptutor,https://github.com/temitopeohassan/deeptutor,0,2026-09-25,177,1865,2,12,roster-bot only,
Ratish149/DeepTutor,https://github.com/Ratish149/DeepTutor,0,2026-09-25,176,1864,2,12,roster-bot only,
bit-cook/DeepTutor,https://github.com/bit-cook/DeepTutor,0,2026-09-25,174,1863,2,12,roster-bot only,
elwnyli/DeepTutor,https://github.com/elwnyli/DeepTutor,0,2026-08-04,3,1065,1,11,,Add libcairo2 and libpango dependencies | fix: enable math animator dependencies in Railway image | fix: use production image on Railway
dataswarmproject/addross,https://github.com/dataswarmproject/addross,0,2026-02-26,1,2094,2,8,roster-bot only,
PaulVumon/DeepTutor,https://github.com/PaulVumon/DeepTutor,0,2026-02-06,1,1919,2,8,,Add NEXT_PUBLIC_API_BASE build arg for frontend
CEIA-GAIA/DeepTutor,https://github.com/CEIA-GAIA/DeepTutor,0,2026-05-13,1,1635,2,8,,Modify donfig
xuhao0080/DeepTutor,https://github.com/xuhao0080/DeepTutor,0,2026-05-31,2,1476,3,7,,"fix: add allow_shell_exec to auto_start_bots, UpdateBotRequest, and _apply_paylo | fix: remove duplicate supervisor frontend config that overrode start-frontend.sh"
Dhamu143/DeepTutor,https://github.com/Dhamu143/DeepTutor,0,2026-08-30,1,1784,4,7,,Update README.md
wang-chunxing/DeepTutor,https://github.com/wang-chunxing/DeepTutor,0,2026-01-15,1,1995,6,5,,"feat: rebrand to Learning Assistant, update logo and remove HKU references"
m1911star/DeepTutor,https://github.com/m1911star/DeepTutor,0,2026-05-15,1,1551,3,4,,fix: replace Google Fonts with system font stack for local dev
fugoku/DeepTutor,https://github.com/fugoku/DeepTutor,0,2026-08-01,1,1740,2,4,,v1.0.2
SCW5370/DeepTutor,https://github.com/SCW5370/DeepTutor,1,2026-07-20,2,1736,1,3,,docs: clarify the learning-systems research fork | docs: clarify upstream fork ownership
PedroMSaraiva/DeepTutor,https://github.com/PedroMSaraiva/DeepTutor,0,2026-04-06,2,1807,2,3,,Update Dockerfile | Update agentic_pipeline.py
lucadeg/DeepTutor,https://github.com/lucadeg/DeepTutor,0,2026-09-22,1,1490,1,3,,chore(actions): require manual FounderOS Admin Gate dispatch
thibault-porssut/DeepTutor,https://github.com/thibault-porssut/DeepTutor,0,2026-06-15,3,1476,2,2,,"Hide API keys for all services (LLM, Embedding, Search) | change api key logic | revert"
Samuel-TM/DeepTutor,https://github.com/Samuel-TM/DeepTutor,0,2026-05-27,5,1490,1,1,,first commit
jeevan1985/DeepTutor,https://github.com/jeevan1985/DeepTutor,0,2026-02-20,1,1905,1,1,roster-bot only,
bShakya221/PrivateDeepTutor,https://github.com/bShakya221/PrivateDeepTutor,0,2026-04-22,1,1647,1,1,,Update Dockerfile
Donsoleil/DeepTutor,https://github.com/Donsoleil/DeepTutor,0,2026-09-07,6,1007,0,0,,"Print ~ instead of \~, and correct rule 8 (#5) | Revert: remove the status-board tooling from this repo (#6) | feat(agents): enforce the status board with a Stop hook, not just a rule (#2) | feat(agents): every reply ends with a status board (#1) | feat(agents): trim the status board's counter column to three rows (#3)"
Jia-Yee/DeepTutor,https://github.com/Jia-Yee/DeepTutor,0,2026-05-25,4,1490,0,0,,fix create bot error | support local network | 避免跨域问题
wojimene/RailTutor,https://github.com/wojimene/RailTutor,0,2026-04-23,1,1642,0,0,,
saxster/DeepTutor,https://github.com/saxster/DeepTutor,0,2026-08-29,1,2213,1,0,,ci: run on push only (drop schedule and pull_request)
SamalehZen/DeepTutor-Universit-de-Djibouti,https://github.com/SamalehZen/DeepTutor-Universit-de-Djibouti,5,2026-05-30,1,1476,0,0,,
Marvin19700118/DeepTutor,https://github.com/Marvin19700118/DeepTutor,0,2026-01-04,1,2156,1,0,,build: Add `package-lock-json` for dependency locking.
FitzGerald100/DeepTutor,https://github.com/FitzGerald100/DeepTutor,0,2026-01-05,1,2146,3,0,,add samantha folder to my clone repo
BeatusMomentum/DeepTutor,https://github.com/BeatusMomentum/DeepTutor,0,2026-09-24,1,0,4,0,,Sync with upstream + disable fork workflows
